date,stock_id,stock_name,foreign_buy,foreign_sell,foreign_net,foreign_dealer_buy,foreign_dealer_sell,foreign_dealer_net,trust_buy,trust_sell,trust_net,dealer_net,dealer_self_buy,dealer_self_sell,dealer_self_net,dealer_hedge_buy,dealer_hedge_sell,dealer_hedge_net,total_net
2026-01-26,0056,元大高股息,11966435,520733,11445702,0,0,0,0,0,0,57456561,73680,0,73680,57705727,322846,57382881,68902263
2026-01-26,00878,國泰永續高股息,29855517,1466718,28388799,0,0,0,0,0,0,35275855,0,0,0,40906578,5630723,35275855,63664654
2026-01-26,00929,復華台灣科技優息,2653238,2080410,572828,0,0,0,0,0,0,62201704,1000,0,1000,67842701,5641997,62200704,62774532
2026-01-26,00940,元大台灣價值高息,9711000,513000,9198000,0,0,0,0,0,0,53436819,0,0,0,54062819,626000,53436819,62634819
2026-01-26,2002,中鋼,63277591,9485294,53792297,0,0,0,0,224511,-224511,2990537,1850000,0,1850000,1254537,114000,1140537,56558323
2026-01-26,00919,群益台灣精選高息,27979558,451703,27527855,0,0,0,0,0,0,23723565,352000,935000,-583000,29992355,5685790,24306565,51251420
2026-01-26,2883,凱基金,53772000,5981940,47790060,0,0,0,357000,564499,-207499,-1873693,285000,16000,269000,426307,2569000,-2142693,45708868
2026-01-26,2303,聯電,90752126,51649434,39102692,0,0,0,6508000,7027775,-519775,2837609,1510000,938000,572000,5339778,3074169,2265609,41420526
2026-01-26,00680L,元大美債20正2,1805000,0,1805000,0,0,0,0,0,0,34979995,0,0,0,37739995,2760000,34979995,36784995
2026-01-26,2887,台新新光金,52824001,16702860,36121141,0,0,0,787000,2083829,-1296829,949343,1580000,0,1580000,1115672,1746329,-630657,35773655
2026-01-26,1303,南亞,59543540,42980298,16563242,0,0,0,1592000,177770,1414230,1892499,1902495,1370709,531786,1920649,559936,1360713,19869971
2026-01-26,2027,大成鋼,21849000,4209054,17639946,0,0,0,100000,0,100000,445667,0,127000,-127000,1109667,537000,572667,18185613
2026-01-26,1101,台泥,24890800,8536147,16354653,0,0,0,0,0,0,529696,0,12000,-12000,1402832,861136,541696,16884349
2026-01-26,1314,中石化,26998000,10736000,16262000,0,0,0,0,0,0,74858,101095,3237,97858,0,23000,-23000,16336858
2026-01-26,1301,台塑,27931000,15684127,12246873,0,0,0,0,82931,-82931,1900769,720031,202000,518031,1714990,332252,1382738,14064711
2026-01-26,00715L,期街口布蘭特正2,1986000,246000,1740000,0,0,0,0,0,0,11758699,3000,0,3000,15054654,3298955,11755699,13498699
2026-01-26,00939,統一台灣高息動能,5167000,10000,5157000,0,0,0,0,0,0,7777941,0,0,0,9136687,1358746,7777941,12934941
2026-01-26,00688L,國泰20年美債正2,1334000,0,1334000,0,0,0,0,0,0,11549216,0,0,0,12067216,518000,11549216,12883216
2026-01-26,2884,玉山金,20048949,9316076,10732873,0,0,0,2955000,793675,2161325,-1218576,8000,7998,2,303485,1522063,-1218578,11675622
2026-01-26,2382,廣達,15561757,3935571,11626186,0,0,0,95000,175365,-80365,-296380,81109,55000,26109,1000,323489,-322489,11249441
2026-01-26,00900,富邦特選高股息30,3191050,147000,3044050,0,0,0,0,0,0,7523486,0,0,0,8176836,653350,7523486,10567536
2026-01-26,00713,元大台灣高息低波,1688243,147295,1540948,0,0,0,0,0,0,8710886,0,58000,-58000,9026858,257972,8768886,10251834
2026-01-26,00927,群益半導體收益,2062100,377000,1685100,0,0,0,0,0,0,8439933,20000,0,20000,13628638,5208705,8419933,10125033
2026-01-26,00706L,期元大S&P日圓正2,314000,116000,198000,0,0,0,0,0,0,9677218,0,0,0,11106418,1429200,9677218,9875218
2026-01-26,2610,華航,18989000,7414078,11574922,0,0,0,324000,1935965,-1611965,-367084,480000,479000,1000,337943,706027,-368084,9595873
2026-01-26,2867,三商壽,13212300,3896706,9315594,0,0,0,0,0,0,28000,0,5000,-5000,41000,8000,33000,9343594
2026-01-26,00918,大華優利高填息30,5842432,230000,5612432,0,0,0,0,0,0,3608091,0,0,0,5558077,1949986,3608091,9220523
2026-01-26,2486,一詮,9721008,1779000,7942008,0,0,0,985000,0,985000,109751,203239,174722,28517,290129,208895,81234,9036759
2026-01-26,1402,遠東新,11849398,1997592,9851806,0,0,0,0,1431000,-1431000,-43941,55000,0,55000,2107,101048,-98941,8376865
2026-01-26,00946,群益科技高息成長,1283000,109000,1174000,0,0,0,0,0,0,7167880,0,0,0,8796803,1628923,7167880,8341880
2026-01-26,1326,台化,12359131,5586648,6772483,0,0,0,19000,12000,7000,1293743,296704,55315,241389,1539354,487000,1052354,8073226
