date,stock_id,stock_name,trade_volume,trade_value,open_price,high_price,low_price,close_price,price_change,transaction_count
2026-01-26,0050,元大台灣50,87992466,6373835828,72.25,72.65,72.2,72.25,0.0,72487
2026-01-26,0051,元大中型100,101035,10547622,103.6,104.65,103.6,104.45,0.85,529
2026-01-26,0052,富邦科技,45458233,1954016650,42.9,43.12,42.82,42.85,0.04,23489
2026-01-26,0053,元大電子,62358,9978460,160.0,161.15,159.7,159.7,-0.25,627
2026-01-26,0055,元大MSCI金融,151878,4903489,32.05,32.43,32.01,32.38,0.33,438
2026-01-26,0056,元大高股息,90529500,3447321129,37.88,38.23,37.85,38.23,0.5,31341
2026-01-26,0057,富邦摩台,6390,1366109,214.55,214.55,213.85,214.05,0.6,140
2026-01-26,0061,元大寶滬深,240597,5691049,23.66,23.77,23.52,23.63,-0.03,264
2026-01-26,006203,元大MSCI台灣,8306,1089556,131.1,131.75,130.8,131.3,0.1,140
2026-01-26,006204,永豐臺灣加權,20034,3278905,163.35,164.5,163.05,163.8,0.45,131
2026-01-26,006205,富邦上証,792865,32489208,40.88,41.29,40.72,40.96,0.08,279
2026-01-26,006206,元大上證50,149981,5632008,37.44,38.0,37.11,37.69,0.24,258
2026-01-26,006207,復華滬深,352394,11122928,31.45,31.75,31.4,31.53,0.07,148
2026-01-26,006208,富邦台50,4221611,707305764,167.15,168.1,167.0,167.3,0.15,10141
2026-01-26,00625K,富邦上証+R,0,0,0.0,0.0,0.0,0.0,0.0,0
2026-01-26,00631L,元大台灣50正2,2344947,1036955648,440.8,444.05,440.5,441.45,0.25,5470
2026-01-26,00632R,元大台灣50反1,26380416,392368101,14.89,14.91,14.84,14.88,-0.01,4096
2026-01-26,00633L,富邦上証正2,6194964,295333395,47.25,48.49,47.15,47.96,0.58,1152
2026-01-26,00634R,富邦上証反1,69000,225270,3.27,3.28,3.24,3.26,-0.02,18
2026-01-26,00635U,期元大S&P黃金,16261029,880341370,53.8,54.4,53.7,54.05,1.05,9679
2026-01-26,00636,國泰中國A50,1371135,36271119,26.4,26.72,26.36,26.56,0.03,398
2026-01-26,00636K,國泰中國A50+U,200,1694,8.47,8.47,8.47,8.47,0.03,2
2026-01-26,00637L,元大滬深300正2,44515636,872404796,19.5,19.91,19.36,19.64,0.19,5962
2026-01-26,00638R,元大滬深300反1,103021,720877,7.11,7.11,6.95,6.99,-0.08,32
2026-01-26,00639,富邦深100,1583972,24420973,15.48,15.5,15.35,15.39,-0.09,340
